["アサルト", "Assault"]
["盾の鼓動2", "Shield Pulse 2"]
["速さの共謀2", "Spd Feint 2"]
["剣殺し2", "Swordbreaker 2"]
["待ち伏せ2", "Vantage 2"]
["迎撃隊形2", "Vengeful Fighter 2"]
["守備隊形2", "Wary Fighter 2"]
["水薙ぎ2", "Watersweep 2"]
["風薙ぎ2", "Windsweep 2"]
["救援の行路2", "Wings of Mercy 2"]
["怒り2", "Wrath 2"]
["神罰の杖2", "Wrathful Staff 2"]
["引き込み", "Drag Back"]
["一撃離脱", "Hit and Run"]
["叩き込み", "Knock Back"]
["切り込み", "Lunge"]
["曲技飛行3", "Aerobatics 3"]
["攻撃守備の連携3", "Atk/Def Link 3"]
["斧殺し3", "Axebreaker 3"]
["青魔殺し3", "B Tomebreaker 3"]
["業火の舞い3", "Blaze Dance 3"]
["攻撃隊形3", "Bold Fighter 3"]
["弓殺し3", "Bowbreaker 3"]
["差し違え3", "Brash Assault 3"]
["相性殺し3", "Cancel Affinity 3"]
["攻撃の封印3", "Chill Atk 3"]
["守備の封印3", "Chill Def 3"]
["魔防の封印3", "Chill Res 3"]
["速さの封印3", "Chill Spd 3"]
["暗器殺し3", "Daggerbreaker 3"]
["幻惑の杖3", "Dazzling Staff 3"]
["守備の共謀3", "Def Feint 3"]
["守備魔防の連携3", "Def/Res Link 3"]
["攻め立て3", "Desperation 3"]
["強化無効・近距離3", "Dull Close 3"]
["強化無効・遠距離3", "Dull Ranged 3"]
["大地の舞い3", "Earth Dance 3"]
["離脱の行路3", "Escape Route 3"]
["業火疾風の舞い2", "Firestorm Dance 2"]
["編隊飛行3", "Flier Formation 3"]
["緑魔殺し3", "G Tomebreaker 3"]
["疾風の舞い3", "Gale Dance 3"]
["大地静水の舞い2", "Geyser Dance 2"]
["キャンセル3", "Guard 3"]
["槍殺し3", "Lancebreaker 3"]
["ご奉仕の喜び3", "Live to Serve 3"]
["進軍阻止3", "Obstruct 3"]
["すり抜け3", "Pass 3"]
["蛇毒3", "Poison Strike 3"]
["切り返し3", "Quick Riposte 3"]
["赤魔殺し3", "R Tomebreaker 3"]
["回復3", "Renewal 3"]
["攻撃封じ3", "Seal Atk 3"]
["攻撃守備封じ2", "Seal Atk/Def 2"]
["攻撃速さ封じ2", "Seal Atk/Spd 2"]
["守備封じ3", "Seal Def 3"]
["守備魔防封じ2", "Seal Def/Res 2"]
["魔防封じ3", "Seal Res 3"]
["速さ封じ3", "Seal Spd 3"]
["盾の鼓動3", "Shield Pulse 3"]
["速さの共謀3", "Spd Feint 3"]
["剣殺し3", "Swordbreaker 3"]
["待ち伏せ3", "Vantage 3"]
["迎撃隊形3", "Vengeful Fighter 3"]
["守備隊形3", "Wary Fighter 3"]
["水薙ぎ3", "Watersweep 3"]
["風薙ぎ3", "Windsweep 3"]
["救援の行路3", "Wings of Mercy 3"]
["怒り3", "Wrath 3"]
["神罰の杖3", "Wrathful Staff 3"]
["ベオクの加護", "Beorc's Blessing"]
["武士道", "Bushido"]
["氷の封印", "Chilling Seal"]
["追撃リング", "Follow-Up Ring"]
["リカバーリング", "Recover Ring"]
["Ｓドリンク", "S Drink"]
["サカの加護", "Sacae's Blessing"]
["太陽の腕輪", "Solar Brace"]
["転移の粉", "Warp Powder"]
["聖騎士の加護", "Crusader's Ward"]
["斧の経験1", "Axe Experience 1"]
["斧の経験2", "Axe Experience 2"]
["斧の経験3", "Axe Experience 3"]
["斧の技量1", "Axe Valor 1"]
["斧の技量2", "Axe Valor 2"]
["斧の技量3", "Axe Valor 3"]
["青魔の経験1", "B Tome Exp. 1"]
["青魔の経験2", "B Tome Exp. 2"]
["青魔の経験3", "B Tome Exp. 3"]
["青魔の技量1", "B Tome Valor 1"]
["青魔の技量2", "B Tome Valor 2"]
["青魔の技量3", "B Tome Valor 3"]
["弓の経験1", "Bow Exp. 1"]
["弓の経験2", "Bow Exp. 2"]
["弓の経験3", "Bow Exp. 3"]
["弓の技量1", "Bow Valor 1"]
["弓の技量2", "Bow Valor 2"]
["弓の技量3", "Bow Valor 3"]
["暗器の技量1", "Dagger Valor 1"]
["暗器の技量2", "Dagger Valor 2"]
["暗器の技量3", "Dagger Valor 3"]
["竜の技量1", "Dragon Valor 1"]
["竜の技量2", "Dragon Valor 2"]
["竜の技量3", "Dragon Valor 3"]
["緑魔の経験1", "G Tome Exp. 1"]
["緑魔の経験2", "G Tome Exp. 2"]
["緑魔の経験3", "G Tome Exp. 3"]
["緑魔の技量1", "G Tome Valor 1"]
["緑魔の技量2", "G Tome Valor 2"]
["緑魔の技量3", "G Tome Valor 3"]
["槍の技量1", "Lance Valor 1"]
["槍の技量2", "Lance Valor 2"]
["槍の技量3", "Lance Valor 3"]
["赤魔の経験1", "R Tome Exp. 1"]
["赤魔の経験2", "R Tome Exp. 2"]
["赤魔の経験3", "R Tome Exp. 3"]
["赤魔の技量1", "R Tome Valor 1"]
["赤魔の技量2", "R Tome Valor 2"]
["赤魔の技量3", "R Tome Valor 3"]
["杖の技量1", "Staff Valor 1"]
["杖の技量2", "Staff Valor 2"]
["杖の技量3", "Staff Valor 3"]
["剣の経験1", "Sword Exp. 1"]
["剣の経験2", "Sword Exp. 2"]
["剣の経験3", "Sword Exp. 3"]
["剣の技量1", "Sword Valor 1"]
["剣の技量2", "Sword Valor 2"]
["剣の技量3", "Sword Valor 3"]
["重装の行軍1", "Armor March 1"]
["攻撃の謀策1", "Atk Ploy 1"]
["攻撃の紫煙1", "Atk Smoke 1"]
["攻撃の指揮1", "Atk Tactic 1"]
["生の息吹1", "Breath of Life 1"]
["守備の謀策1", "Def Ploy 1"]
["守備の紫煙1", "Def Smoke 1"]
["守備の指揮1", "Def Tactic 1"]
["遠距離警戒1", "Distant Guard 1"]
["速さの波・偶数1", "Even Spd Wave 1"]
["飛行の先導1", "Flier Guidance 1"]
["守備の鼓舞1", "Fortify Def 1"]
["魔防の鼓舞1", "Fortify Res 1"]
["空からの先導1", "Guidance 1"]
["攻撃の鼓舞1", "Hone Atk 1"]
["速さの鼓舞1", "Hone Spd 1"]
["歩行の鼓動1", "Infantry Pulse 1"]
["歩行の剛撃1", "Infantry Rush 1"]
["攻撃の波・奇数1", "Odd Atk Wave 1"]
["魔防の波・奇数1", "Odd Res Wave 1"]
["恐慌の奇策1", "Panic Ploy 1"]
["魔防の謀策1", "Res Ploy 1"]
["魔防の紫煙1", "Res Smoke 1"]
["魔防の指揮1", "Res Tactic 1"]
["死の吐息1", "Savage Blow 1"]
["速さの謀策1", "Spd Ploy 1"]
["速さの紫煙1", "Spd Smoke 1"]
["速さの指揮1", "Spd Tactic 1"]
["攻撃の紋章1", "Spur Atk 1"]
["守備の紋章1", "Spur Def 1"]
["魔防の紋章1", "Spur Res 1"]
["速さの紋章1", "Spur Spd 1"]
["攻撃の威嚇1", "Threaten Atk 1"]
["守備の威嚇1", "Threaten Def 1"]
["魔防の威嚇1", "Threaten Res 1"]
["速さの威嚇1", "Threaten Spd 1"]
["重装の行軍2", "Armor March 2"]
["攻撃の謀策2", "Atk Ploy 2"]
["攻撃の紫煙2", "Atk Smoke 2"]
["攻撃の指揮2", "Atk Tactic 2"]
["生の息吹2", "Breath of Life 2"]
["守備の謀策2", "Def Ploy 2"]
["守備の紫煙2", "Def Smoke 2"]
["守備の指揮2", "Def Tactic 2"]
["遠距離警戒2", "Distant Guard 2"]
["攻撃の大紋章1", "Drive Atk 1"]
["守備の大紋章1", "Drive Def 1"]
["魔防の大紋章1", "Drive Res 1"]
["速さの大紋章1", "Drive Spd 1"]
["速さの波・偶数2", "Even Spd Wave 2"]
["飛行の先導2", "Flier Guidance 2"]
["守備の鼓舞2", "Fortify Def 2"]
["魔防の鼓舞2", "Fortify Res 2"]
["空からの先導2", "Guidance 2"]
["攻撃の鼓舞2", "Hone Atk 2"]
["速さの鼓舞2", "Hone Spd 2"]
["歩行の鼓動2", "Infantry Pulse 2"]
["歩行の剛撃2", "Infantry Rush 2"]
["攻撃の波・奇数2", "Odd Atk Wave 2"]
["魔防の波・奇数2", "Odd Res Wave 2"]
["恐慌の奇策2", "Panic Ploy 2"]
["魔防の謀策2", "Res Ploy 2"]
["魔防の紫煙2", "Res Smoke 2"]
["魔防の指揮2", "Res Tactic 2"]
["死の吐息2", "Savage Blow 2"]
["速さの謀策2", "Spd Ploy 2"]
["速さの紫煙2", "Spd Smoke 2"]
["速さの指揮2", "Spd Tactic 2"]
["攻撃の紋章2", "Spur Atk 2"]
["攻撃守備の紋章1", "Spur Atk/Def 1"]
["攻撃魔防の紋章1", "Spur Atk/Res 1"]
["攻撃速さの紋章1", "Spur Atk/Spd 1"]
["守備の紋章2", "Spur Def 2"]
["守備魔防の紋章1", "Spur Def/Res 1"]
["魔防の紋章2", "Spur Res 2"]
["速さの紋章2", "Spur Spd 2"]
["速さ守備の紋章1", "Spur Spd/Def 1"]
["攻撃の威嚇2", "Threaten Atk 2"]
["守備の威嚇2", "Threaten Def 2"]
["魔防の威嚇2", "Threaten Res 2"]
["速さの威嚇2", "Threaten Spd 2"]
["重装の行軍3", "Armor March 3"]
["攻撃の謀策3", "Atk Ploy 3"]
["攻撃の紫煙3", "Atk Smoke 3"]
["攻撃の指揮3", "Atk Tactic 3"]
["生の息吹3", "Breath of Life 3"]
["守備の謀策3", "Def Ploy 3"]
["守備の紫煙3", "Def Smoke 3"]
["守備の指揮3", "Def Tactic 3"]
["遠距離警戒3", "Distant Guard 3"]
["攻撃の大紋章2", "Drive Atk 2"]
["守備の大紋章2", "Drive Def 2"]
["魔防の大紋章2", "Drive Res 2"]
["速さの大紋章2", "Drive Spd 2"]
["速さの波・偶数3", "Even Spd Wave 3"]
["飛行の先導3", "Flier Guidance 3"]
["重盾の鼓舞", "Fortify Armor"]
["騎盾の鼓舞", "Fortify Cavalry"]
["守備の鼓舞3", "Fortify Def 3"]
["竜盾の鼓舞", "Fortify Dragons"]
["飛盾の鼓舞", "Fortify Fliers"]
["魔防の鼓舞3", "Fortify Res 3"]
["重刃の紋章", "Goad Armor"]
["騎刃の紋章", "Goad Cavalry"]
["竜刃の紋章", "Goad Dragons"]
["飛刃の紋章", "Goad Fliers"]
["空からの先導3", "Guidance 3"]
["重刃の鼓舞", "Hone Armor"]
["攻撃の鼓舞3", "Hone Atk 3"]
["騎刃の鼓舞", "Hone Cavalry"]
["竜刃の鼓舞", "Hone Dragons"]
["飛刃の鼓舞", "Hone Fliers"]
["速さの鼓舞3", "Hone Spd 3"]
["歩行の鼓動3", "Infantry Pulse 3"]
["歩行の剛撃3", "Infantry Rush 3"]
["攻撃の波・奇数3", "Odd Atk Wave 3"]
["魔防の波・奇数3", "Odd Res Wave 3"]
["恐慌の奇策3", "Panic Ploy 3"]
["魔防の謀策3", "Res Ploy 3"]
["魔防の紫煙3", "Res Smoke 3"]
["魔防の指揮3", "Res Tactic 3"]
["死の吐息3", "Savage Blow 3"]
["速さの謀策3", "Spd Ploy 3"]
["速さの紫煙3", "Spd Smoke 3"]
["速さの指揮3", "Spd Tactic 3"]
["攻撃の紋章3", "Spur Atk 3"]
["攻撃守備の紋章2", "Spur Atk/Def 2"]
["攻撃魔防の紋章2", "Spur Atk/Res 2"]
["攻撃速さの紋章2", "Spur Atk/Spd 2"]
["守備の紋章3", "Spur Def 3"]
["守備魔防の紋章2", "Spur Def/Res 2"]
["魔防の紋章3", "Spur Res 3"]
["速さの紋章3", "Spur Spd 3"]
["速さ守備の紋章2", "Spur Spd/Def 2"]
["攻撃の威嚇3", "Threaten Atk 3"]
["守備の威嚇3", "Threaten Def 3"]
["魔防の威嚇3", "Threaten Res 3"]
["速さの威嚇3", "Threaten Spd 3"]
["重盾の紋章", "Ward Armor"]
["騎盾の紋章", "Ward Cavalry"]
["竜盾の紋章", "Ward Dragons"]
["飛盾の紋章", "Ward Fliers"]
["オスティアの鼓動", "Ostia's Pulse"]
["エンブラの加護", "Embla's Ward"]
["ムスペルの炎", "Múspellflame"]
["連撃防御・魔道1", "Deflect Magic 1"]
["連撃防御・剣槍斧1", "Deflect Melee 1"]
["連撃防御・弓暗器1", "Deflect Missile 1"]
["不動の姿勢1", "Hardy Bearing 1"]
["鍛錬の証_攻撃1", "Initiate Seal Atk 1"]
["鍛錬の証_守備1", "Initiate Seal Def 1"]
["鍛錬の証_HP1", "Initiate Seal HP 1"]
["鍛錬の証_魔防1", "Initiate Seal Res 1"]
["鍛錬の証_速さ1", "Initiate Seal Spd 1"]
["速さの虚勢1", "Phantom Spd 1"]
["第1迷宮の覇者1", "Squad Ace A 1"]
["第2迷宮の覇者1", "Squad Ace B 1"]
["第3迷宮の覇者1", "Squad Ace C 1"]
["第4迷宮の覇者1", "Squad Ace D 1"]
["第5迷宮の覇者1", "Squad Ace E 1"]
["第6迷宮の覇者1", "Squad Ace F 1"]
["第7迷宮の覇者1", "Squad Ace G 1"]
["第8迷宮の覇者1", "Squad Ace H 1"]
["第9迷宮の覇者1", "Squad Ace I 1"]
["第10迷宮の覇者1", "Squad Ace J 1"]
["第11迷宮の覇者1", "Squad Ace K 1"]
["第12迷宮の覇者1", "Squad Ace L 1"]
["重装のブーツ", "Armored Boots"]
["連撃防御・魔道2", "Deflect Magic 2"]
["連撃防御・剣槍斧2", "Deflect Melee 2"]
["連撃防御・弓暗器2", "Deflect Missile 2"]
["不動の姿勢2", "Hardy Bearing 2"]
["鍛錬の証_攻撃2", "Initiate Seal Atk 2"]
["鍛錬の証_守備2", "Initiate Seal Def 2"]
["鍛錬の証_HP2", "Initiate Seal HP 2"]
["鍛錬の証_魔防2", "Initiate Seal Res 2"]
["鍛錬の証_速さ2", "Initiate Seal Spd 2"]
["速さの虚勢2", "Phantom Spd 2"]
["奥義の鼓動", "Quickened Pulse"]
["第1迷宮の覇者2", "Squad Ace A 2"]
["第2迷宮の覇者2", "Squad Ace B 2"]
["第3迷宮の覇者2", "Squad Ace C 2"]
["第4迷宮の覇者2", "Squad Ace D 2"]
["第5迷宮の覇者2", "Squad Ace E 2"]
["第6迷宮の覇者2", "Squad Ace F 2"]
["第7迷宮の覇者2", "Squad Ace G 2"]
["第8迷宮の覇者2", "Squad Ace H 2"]
["第9迷宮の覇者2", "Squad Ace I 2"]
["第10迷宮の覇者2", "Squad Ace J 2"]
["第11迷宮の覇者2", "Squad Ace K 2"]
["第12迷宮の覇者2", "Squad Ace L 2"]
["連撃防御・魔道3", "Deflect Magic 3"]
["連撃防御・剣槍斧3", "Deflect Melee 3"]
["連撃防御・弓暗器3", "Deflect Missile 3"]
["不動の姿勢3", "Hardy Bearing 3"]
["鍛錬の証_攻撃3", "Initiate Seal Atk 3"]
["鍛錬の証_守備3", "Initiate Seal Def 3"]
["鍛錬の証_HP3", "Initiate Seal HP 3"]
["鍛錬の証_魔防3", "Initiate Seal Res 3"]
["鍛錬の証_速さ3", "Initiate Seal Spd 3"]
["速さの虚勢3", "Phantom Spd 3"]
["第1迷宮の覇者3", "Squad Ace A 3"]
["第2迷宮の覇者3", "Squad Ace B 3"]
["第3迷宮の覇者3", "Squad Ace C 3"]
["第4迷宮の覇者3", "Squad Ace D 3"]
["第5迷宮の覇者3", "Squad Ace E 3"]
["第6迷宮の覇者3", "Squad Ace F 3"]
["第7迷宮の覇者3", "Squad Ace G 3"]
["第8迷宮の覇者3", "Squad Ace H 3"]
["第9迷宮の覇者3", "Squad Ace I 3"]
["第10迷宮の覇者3", "Squad Ace J 3"]
["第11迷宮の覇者3", "Squad Ace K 3"]
["第12迷宮の覇者3", "Squad Ace L 3"]
