0\Breidablik\\0\0\0\Weapon\Summon Gun Users Only\Kiran\Fires Heroes\-\Kiran; -; -; -; -\Kiran; -; -; -; -\Weapon, Purple, Gun\0,0,0,0,0\\Chill Breidablik\
400163\Quick Riposte\3\240\-\Scarlet 400 1000 100\Passive(B), Seal\Everyone\-\Unit automatically makes a follow-up attack if attacked at HP __>__ 70%.\*Quick Riposte 2*\-; -; -; -; -\-; -; -; Deirdre, Draco(Gates), Equals11, Flora, Hrid(Winter), Joq, Leo, Mintz, Moosie, Nah, Xander(Festival); Dorcas, Klein, Leo(Picnic), Oregano, Subaki\Passive, B, Seal, Follow-up\\\\
400165\Quick Riposte\W\0\5\-\Passive(B), Passive(W)\Everyone\-\Unit automatically makes a follow-up attack if attacked at HP __>__ 50%.\-\-; -; -; -; -\-; -; -; -; -\Passive, B, W, Follow-up\Binding Blade, Bow of Devotion\\\
400170\Live to Serve\example\160\-\transparent\Passive(B), Seal\Staff Users Only\-\When healing allies with a staff, unit also recovers `50%/75%/100%` of the HP restored.  (Does not stack.)\-\-; -; -; -; -\-; -; -; Ethlyn; Elise, Megan(Gates), Wrys\Passive, B, Staff, Heal, HP\\\\
400171\Live to Serve\1\40\-\Transparent 20 100 20\Passive(B), Seal\Staff Users Only\-\When healing allies with a staff, unit also recovers 50% of the HP restored.  (Does not stack.)\-\-; -; -; -; -\Ethlyn; -; Elise, Megan(Gates), Wrys; -; -\Passive, B, Staff, Heal, HP\\\\
400172\Live to Serve\2\80\-\Transparent 60 200 50\Passive(B), Seal\Staff Users Only\-\When healing allies with a staff, unit also recovers 75% of the HP restored.  (Does not stack.)\*Live to Serve 1*\-; -; -; -; -\-; Ethlyn; -; Elise, Megan(Gates), Wrys; -\Passive, B, Staff, Heal, HP\\\\
400173\Live to Serve\3\160\-\Transparent 400 1000 100\Passive(B), Seal\Staff Users Only\-\When healing allies with a staff, unit also recovers the same amount.  (Does not stack.)\*Live to Serve 2*\-; -; -; -; -\-; -; -; Ethlyn; Elise, Megan(Gates), Wrys\Passive, B, Staff, Heal, HP\\\\
400180\Swordbreaker\example\200\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ `90%/70%/50%` in combat against a sword user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\-; -; -; Abel, Ike; Sully\Passive, B, Breaker\\\\
400181\Swordbreaker\1\50\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ 90% in combat against a sword user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\Abel, Ike; -; Sully; -; -\Passive, B, Breaker\\\\
400182\Swordbreaker\2\100\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ 70% in combat against a sword user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Swordbreaker 1*\-; -; -; -; -\-; Abel, Ike; -; Sully; -\Passive, B, Breaker\\\\
400183\Swordbreaker\3\200\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ 50% in combat against a sword user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Swordbreaker 2*\-; -; -; -; -\-; -; -; Abel, Ike; Sully\Passive, B, Breaker\\\\
400190\Lancebreaker\example\200\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ `90%/70%/50%` in combat against a lance user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\-; -; -; Narcian, Oscar; Arthur(Fates)\Passive, B, Breaker\\\\
400191\Lancebreaker\1\50\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ 90% in combat against a lance user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\Narcian, Oscar; -; Arthur(Fates); -; -\Passive, B, Breaker\\\\
400192\Lancebreaker\2\100\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ 70% in combat against a lance user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Lancebreaker 1*\-; -; -; -; -\-; Narcian, Oscar; -; Arthur(Fates); -\Passive, B, Breaker\\\\
400193\Lancebreaker\3\200\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ 50% in combat against a lance user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Lancebreaker 2*\-; -; -; -; -\-; -; -; Narcian, Oscar; Arthur(Fates)\Passive, B, Breaker\\\\
400200\Axebreaker\example\200\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ `90%/70%/50%` in combat against an axe user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\-; -; -; Laslow; Eliwood\Passive, B, Breaker\\\\
400201\Axebreaker\1\50\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ 90% in combat against an axe user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\Laslow; -; Eliwood; -; -\Passive, B, Breaker\\\\
400202\Axebreaker\2\100\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ 70% in combat against an axe user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Axebreaker 1*\-; -; -; -; -\-; Laslow; -; Eliwood; -\Passive, B, Breaker\\\\
400203\Axebreaker\3\200\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ 50% in combat against an axe user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Axebreaker 2*\-; -; -; -; -\-; -; -; Laslow; Eliwood\Passive, B, Breaker\\\\
400210\Brash Assault\example\200\-\transparent\Passive(B), Seal, Passive(W)\Everyone\-\If unit initiates combat against a foe that can counter and unit's HP __<__ `30%/40%/50%`, unit makes a guaranteed follow-up attack.\-\-; -; -; -; -\-; -; -; Bartre; Hinata, Seliph\Passive, B, Seal, Follow-up\\\\
400211\Brash Assault\1\50\-\Transparent 20 100 50\Passive(B), Seal\Everyone\-\If unit initiates combat against a foe that can counter and unit's HP __<__ 30%, unit makes a guaranteed follow-up attack.\-\-; -; -; -; -\Bartre; -; Hinata, Seliph; -; -\Passive, B, Seal, Follow-up\\\\
400212\Brash Assault\2\100\-\Transparent 60 200 50\Passive(B), Seal\Everyone\-\If unit initiates combat against a foe that can counter and unit's HP __<__ 40%, unit makes a guaranteed follow-up attack.\*Brash Assault 1*\-; -; -; -; -\-; Bartre; -; Hinata, Seliph; -\Passive, B, Seal, Follow-up\\\\
400213\Brash Assault\3\200\-\Transparent 400 1000 100\Passive(B), Seal\Everyone\-\If unit initiates combat against a foe that can counter and unit's HP __<__ 50%, unit makes a guaranteed follow-up attack.\*Brash Assault 2*\-; -; -; -; -\-; -; -; Bartre; Hinata, Seliph\Passive, B, Seal, Follow-up\\\\
400216\Brash Assault\W\0\-\-\Passive(B), Passive(W)\Everyone\-\If unit initiates combat against a foe that can counter and unit's HP __<__ 75%, unit makes a guaranteed follow-up attack.\-\-; -; -; -; -\-; -; -; -; -\Passive, B, W\Sol Katti\\\
400220\Lunge\-\150\-\-\Passive(B)\Melee Weapon Users Only\-\If unit initiates attack, after combat, unit and targeted foe swap places.\-\-; -; -; -; -\-; -; Beruka, Draug; -; Eldigan\Passive, B, Move\\\\
400230\Wings of Mercy\example\240\-\-\Passive(B)\Everyone\-\Enables unit to warp adjacent to any ally with HP __<__ `30%/40%/50%`.\-\-; -; -; -; -\-; -; -; Black Knight, Bluezie, Cain, Lucina(Glorious); Faye, Frederick, Marth(Groom), Palla\Passive, B, Move, Flight\\\\
400231\Wings of Mercy\1\60\-\-\Passive(B)\Everyone\-\Enables unit to warp adjacent to any ally with HP __<__ 30%.\-\-; -; -; -; -\Black Knight, Bluezie, Cain, Lucina(Glorious); -; Faye, Frederick, Marth(Groom), Palla; -; -\Passive, B, Move, Flight\\\\
400232\Wings of Mercy\2\120\-\-\Passive(B)\Everyone\-\Enables unit to warp adjacent to any ally with HP __<__ 40%.\*Wings of Mercy 1*\-; -; -; -; -\-; Black Knight, Bluezie, Cain, Lucina(Glorious); -; Faye, Frederick, Marth(Groom), Palla; -\Passive, B, Move, Flight\\\\
400233\Wings of Mercy\3\240\-\-\Passive(B)\Everyone\-\Enables unit to warp adjacent to any ally with HP __<__ 50%.\*Wings of Mercy 2*\-; -; -; -; -\-; -; -; Black Knight, Bluezie, Cain, Lucina(Glorious); Faye, Frederick, Marth(Groom), Palla\Passive, B, Move, Flight\\\\
400240\Pass\example\200\-\-\Passive(B)\Everyone\-\Units can pass through foes if its own HP __>__ `75%/50%/25%`.\-\-; -; -; -; -\-; -; -; Cordelia, Gaius, Lloyd; Fir\Passive, B, Move\\\\
400241\Pass\1\50\-\-\Passive(B)\Everyone\-\Units can pass through foes if its own HP __>__ 75%.\-\-; -; -; -; -\Cordelia, Gaius, Lloyd; -; Fir; -; -\Passive, B, Move\\\\
400242\Pass\2\100\-\-\Passive(B)\Everyone\-\Units can pass through foes if its own HP __>__ 50%.\*Pass 1*\-; -; -; -; -\-; Cordelia, Gaius, Lloyd; -; Fir; -\Passive, B, Move\\\\
400243\Pass\3\200\-\-\Passive(B)\Everyone\-\Units can pass through foes if its own HP __>__ 25%.\*Pass 2*\-; -; -; -; -\-; -; -; Cordelia, Gaius, Lloyd; Fir\Passive, B, Move\\\\
400250\Wary Fighter\example\240\-\-\Passive(B)\Armor Only\-\Prevents follow-up attacks in combat from unit and foes if unit's HP __>__ 50%.\-\-; -; -; -; -\-; -; -; Chrom(Winter), Dwight(Gates), Effie, Greil(Valentines), Hector(Valentines), Lukas(Picnic), Jakob(Halloween), Surtr, Zephiel; Dorcas(Halloween)\Passive, B, Fighter\\\\
400251\Wary Fighter\1\60\-\-\Passive(B)\Armor Only\-\Prevents follow-up attacks in combat from unit and foes if unit's HP __>__ 90%.\-\-; -; -; -; -\Chrom(Winter), Dwight(Gates), Effie, Greil(Valentines), Hector(Valentines), Lukas(Picnic), Jakob(Halloween), Surtr, Zephiel; -; Dorcas(Halloween); -; -\Passive, B, Fighter\\\\
400252\Wary Fighter\2\120\-\-\Passive(B)\Armor Only\-\Prevents follow-up attacks in combat from unit and foes if unit's HP __>__ 70%.\*Wary Fighter 1*\-; -; -; -; -\-; Chrom(Winter), Dwight(Gates), Effie, Greil(Valentines), Hector(Valentines), Lukas(Picnic), Jakob(Halloween), Surtr, Zephiel; -; Dorcas(Halloween); -\Passive, B, Fighter\\\\
400253\Wary Fighter\3\240\-\-\Passive(B)\Armor Only\-\Prevents follow-up attacks in combat from unit and foes if unit's HP __>__ 50%.\*Wary Fighter 2*\-; -; -; -; -\-; -; -; Chrom(Winter), Dwight(Gates), Effie, Greil(Valentines), Hector(Valentines), Lukas(Picnic), Jakob(Halloween), Surtr, Zephiel; Dorcas(Halloween)\Passive, B, Fighter\\\\
400260\R Tomebreaker\example\200\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ `90%/70%/50%` in combat against a red tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\-; -; -; Odin; -\Passive, B, Breaker\\\\
400261\R Tomebreaker\1\50\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ 90% in combat against a red tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\Odin; -; -; -; -\Passive, B, Breaker\\\\
400262\R Tomebreaker\2\100\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ 70% in combat against a red tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*R Tomebreaker 1*\-; -; -; -; -\-; Odin; -; -; -\Passive, B, Breaker\\\\
400263\R Tomebreaker\3\200\-\-\Passive(B)\Excludes Green Weapon Users\-\If unit's HP __>__ 50% in combat against a red tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*R Tomebreaker 2*\-; -; -; -; -\-; -; -; Odin; -\Passive, B, Breaker\\\\
400270\B Tomebreaker\example\200\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ `90%/70%/50%` in combat against a blue tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\-; -; -; Python, Robin(F); -\Passive, B, Breaker\\\\
400271\B Tomebreaker\1\50\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ 90% in combat against a blue tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\Python, Robin(F); -; -; -; -\Passive, B, Breaker\\\\
400272\B Tomebreaker\2\100\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ 70% in combat against a blue tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*B Tomebreaker 1*\-; -; -; -; -\-; Python, Robin(F); -; -; -\Passive, B, Breaker\\\\
400273\B Tomebreaker\3\200\-\-\Passive(B)\Excludes Red Weapon Users\-\If unit's HP __>__ 50% in combat against a blue tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*B Tomebreaker 2*\-; -; -; -; -\-; -; -; Python, Robin(F); -\Passive, B, Breaker\\\\
400280\G Tomebreaker\example\200\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ `90%/70%/50%` in combat against a green tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\-; -; -; Henry; -\Passive, B, Breaker\\\\
400281\G Tomebreaker\1\50\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ 90% in combat against a green tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\Henry; -; -; -; -\Passive, B, Breaker\\\\
400282\G Tomebreaker\2\100\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ 70% in combat against a green tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*G Tomebreaker 1*\-; -; -; -; -\-; Henry; -; -; -\Passive, B, Breaker\\\\
400283\G Tomebreaker\3\200\-\-\Passive(B)\Excludes Blue Weapon Users\-\If unit's HP __>__ 50% in combat against a green tome user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*G Tomebreaker 2*\-; -; -; -; -\-; -; -; Henry; -\Passive, B, Breaker\\\\
400290\Daggerbreaker\example\200\-\-\Passive(B)\Everyone\-\If unit's HP __>__ `90%/70%/50%` in combat against a colorless dagger user, unit makes a follow-up attack and foe cannot.\-\-; -; -; -; -\-; -; -; Kagero; -\Passive, B, Breaker\\\\
400291\Daggerbreaker\1\50\-\-\Passive(B)\Everyone\-\If unit's HP __>__ 90% in combat against a colorless dagger user, unit makes a follow-up attack and foe cannot.\-\-; -; -; -; -\Kagero; -; -; -; -\Passive, B, Breaker\\\\
400292\Daggerbreaker\2\100\-\-\Passive(B)\Everyone\-\If unit's HP __>__ 70% in combat against a colorless dagger user, unit makes a follow-up attack and foe cannot.\*Daggerbreaker 1*\-; -; -; -; -\-; Kagero; -; -; -\Passive, B, Breaker\\\\
400293\Daggerbreaker\3\200\-\-\Passive(B)\Everyone\-\If unit's HP __>__ 50% in combat against a colorless dagger user, unit makes a follow-up attack and foe cannot.\*Daggerbreaker 2*\-; -; -; -; -\-; -; -; Kagero; -\Passive, B, Breaker\\\\
400300\Escape Route\example\240\-\-\Passive(B)\Everyone\-\Enables unit whose own HP is __<__ `30%/40%/50%` to warp adjacent to any ally.\-\-; -; -; -; -\-; -; -; Cecilia, Ninian, Yarne; Chad, Cordelia(Bride), Death Knight, Marth, Saias\Passive, B, Move, Flight\\\\
400301\Escape Route\1\60\-\-\Passive(B)\Everyone\-\Enables unit whose own HP is __<__ 30% to warp adjacent to any ally.\-\-; -; -; -; -\Cecilia, Ninian, Yarne; -; Chad, Cordelia(Bride), Death Knight, Marth, Saias; -; -\Passive, B, Move, Flight\\\\
400302\Escape Route\2\120\-\-\Passive(B)\Everyone\-\Enables unit whose own HP is __<__ 40% to warp adjacent to any ally.\*Escape Route 1*\-; -; -; -; -\-; Cecilia, Ninian, Yarne; -; Chad, Cordelia(Bride), Death Knight, Marth, Saias; -\Passive, B, Move, Flight\\\\
400303\Escape Route\3\240\-\-\Passive(B)\Everyone\-\Enables unit whose own HP is __<__ 50% to warp adjacent to any ally.\*Escape Route 2*\-; -; -; -; -\-; -; -; Cecilia, Ninian, Yarne; Chad, Cordelia(Bride), Death Knight, Marth, Saias\Passive, B, Move, Flight\\\\
400310\Bowbreaker\example\200\-\-\Passive(B)\Excludes Fliers\-\If unit's HP __>__ `90%/70%/50%` in combat against a colorless bow user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\-; -; -; Setsuna, Takumi(Winter); -\Passive, B, Breaker\\\\
400311\Bowbreaker\1\50\-\-\Passive(B)\Excludes Fliers\-\If unit's HP __>__ 90% in combat against a colorless bow user, unit makes a follow-up attack and foe cannot make a follow-up attack.\-\-; -; -; -; -\Setsuna, Takumi(Winter); -; -; -; -\Passive, B, Breaker\\\\
400312\Bowbreaker\2\100\-\-\Passive(B)\Excludes Fliers\-\If unit's HP __>__ 70% in combat against a colorless bow user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Bowbreaker 1*\-; -; -; -; -\-; Setsuna, Takumi(Winter); -; -; -\Passive, B, Breaker\\\\
400313\Bowbreaker\3\200\-\-\Passive(B)\Excludes Fliers\-\If unit's HP __>__ 50% in combat against a colorless bow user, unit makes a follow-up attack and foe cannot make a follow-up attack.\*Bowbreaker 2*\-; -; -; -; -\-; -; -; Setsuna, Takumi(Winter); -\Passive, B, Breaker\\\\
400320\Desperation\example\200\-\-\Passive(B)\Everyone\-\If unit initiates combat with HP __<__ `25%/50%/75%`, follow-up attacks occur immediately after unit's attack.\-\-; -; -; -; -\-; -; -; Ayra, Eirika(Memories), Gunnthra(Winter), Ishtar(Soiree), Lyn(Wind), Roy(Brave), Shanna; Karel, Kronya, Mae, Navarre, Rolf(Halloween)\Passive, B, Priority\Concealed Blade\\\
400321\Desperation\1\50\-\-\Passive(B)\Everyone\-\If unit initiates combat with HP __<__ 25%, follow-up attacks occur immediately after unit's attack.\-\-; -; -; -; -\Ayra, Eirika(Memories), Gunnthra(Winter), Ishtar(Soiree), Lyn(Wind), Roy(Brave), Shanna; -; Karel, Kronya, Mae, Navarre, Rolf(Halloween); -; -\Passive, B, Priority\\\\
400322\Desperation\2\100\-\-\Passive(B)\Everyone\-\If unit initiates combat with HP __<__ 50%, follow-up attacks occur immediately after unit's attack.\*Desperation 1*\-; -; -; -; -\-; Ayra, Eirika(Memories), Gunnthra(Winter), Ishtar(Soiree), Lyn(Wind), Roy(Brave), Shanna; -; Karel, Kronya, Mae, Navarre, Rolf(Halloween); -\Passive, B, Priority\\\\
400323\Desperation\3\200\-\-\Passive(B)\Everyone\-\If unit initiates combat with HP __<__ 75%, follow-up attacks occur immediately after unit's attack.\*Desperation 2*\-; -; -; -; -\-; -; -; Ayra, Eirika(Memories), Gunnthra(Winter), Ishtar(Soiree), Lyn(Wind), Roy(Brave), Shanna; Karel, Kronya, Mae, Navarre, Rolf(Halloween)\Passive, B, Priority\Concealed Blade\\\
400330\Live for Bounty\-\100\-\-\Passive(B)\Everyone\-\If unit survives, get 1.5x shards/crystals from a Training Tower map.  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; Nowi(Halloween); Camilla(Bunny), Sharena(Bunny); -\Passive, B, TrainingTower\\\\
400340\Live for Honor\-\100\-\-\Passive(B)\Everyone\-\If unit survives, get 1.5x normal badges from a Training Tower map.  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Henry(Halloween), Kagero(Bunny), Xander(Bunny); -\Passive, B, TrainingTower\\\\
400350\Windsweep\example\240\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, dagger, or beast damage, if unit's Spd - foe's Spd __>__ `5/3/1`, foe can't counterattack.\*Windsweep 2*\-; -; -; -; -\-; -; -; Joshua; Alm\Passive, B, Sweep\\\\
400351\Windsweep\1\60\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, dagger, or beast damage, if unit's Spd - foe's Spd __>__ 5, foe can't counterattack.\-\-; -; -; -; -\Joshua; -; Alm; -; -\Passive, B, Sweep\\\\
400352\Windsweep\2\120\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, dagger, or beast damage, if unit's Spd - foe's Spd __>__ 3, foe can't counterattack.\*Windsweep 1*\-; -; -; -; -\-; Joshua; -; Alm; -\Passive, B, Sweep\\\\
400353\Windsweep\3\240\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, dagger, or beast damage, if unit's Spd - foe's Spd __>__ 1, foe can't counterattack.\*Windsweep 2*\-; -; -; -; -\-; -; -; Joshua; Alm\Passive, B, Sweep\\\\
400360\Hit and Run\-\150\-\-\Passive(B)\Melee Weapon Users Only\-\If unit initiates attack, unit retreats 1 space after battle.\-\-; -; -; -; -\-; -; Clair, Clive, Gerome, Tiki(Young)(Summer); -; -\Passive, B, Move\\\\
400370\Watersweep\example\240\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with a tome, staff or dragonstone, if unit's Spd - foe's Spd __>__ `5/3/1`, foe can't counterattack.\-\-; -; -; -; -\-; -; -; -; Soren\Passive, B, Sweep\\\\
400371\Watersweep\1\60\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with a tome, staff or dragonstone, if unit's Spd - foe's Spd __>__ 5, foe can't counterattack.\-\-; -; -; -; -\-; -; Soren; -; -\Passive, B, Sweep\\\\
400372\Watersweep\2\120\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with a tome, staff or dragonstone, if unit's Spd - foe's Spd __>__ 3, foe can't counterattack.\*Watersweep 1*\-; -; -; -; -\-; -; -; Soren; -\Passive, B, Sweep\\\\
400373\Watersweep\3\240\-\-\Passive(B)\Excludes Staff Users\-\If unit initiates attack, no follow-up occurs. Against foe with a tome, staff or dragonstone, if unit's Spd - foe's Spd __>__ 1, foe can't counterattack.\*Watersweep 2*\-; -; -; -; -\-; -; -; -; Soren\Passive, B, Sweep\\\\
400380\Guard\example\200\-\-\Passive(B)\Everyone\-\If unit's HP is __>__ `100%/90%/80%` at start of combat, enemy is inflicted with Special cooldown charge-1.  (If using similar skill, only highest value applied.)\-\-; -; -; -; -\-; -; -; Helbindi, Moony, Naesala; Haar, Julius, Leon, Lyn(Valentines), Micaiah, Morgan(F), Sakura(Halloween), Titania\Passive, B, Cooldown\\\\
400381\Guard\1\50\-\-\Passive(B)\Everyone\-\If unit's HP is 100% at start of combat, enemy is inflicted with Special cooldown charge-1.  (If using similar skill, only highest value applied.)\-\-; -; -; -; -\Helbindi, Moony, Naesala; -; Haar, Julius, Leon, Lyn(Valentines), Micaiah, Morgan(F), Sakura(Halloween), Titania; -; -\Passive, B, Cooldown\\\\
400382\Guard\2\100\-\-\Passive(B)\Everyone\-\If unit's HP is __>__ 90% at start of combat, enemy is inflicted with Special cooldown charge-1.  (If using similar skill, only highest value applied.)\*Guard 1*\-; -; -; -; -\-; Helbindi, Moony, Naesala; -; Haar, Julius, Leon, Lyn(Valentines), Micaiah, Morgan(F), Sakura(Halloween), Titania; -\Passive, B, Cooldown\\\\
400383\Guard\3\200\-\-\Passive(B)\Everyone\-\If unit's HP is __>__ 80% at start of combat, enemy is inflicted with Special cooldown charge-1.  (If using similar skill, only highest value applied.)\*Guard 2*\-; -; -; -; -\-; -; -; Helbindi, Moony, Naesala; Haar, Julius, Leon, Lyn(Valentines), Micaiah, Morgan(F), Sakura(Halloween), Titania\Passive, B, Cooldown\\\\
400390\Wrathful Staff\example\240\-\-\Passive(B)\Staff Users Only\-\If unit has __>__ `100%/50%/0%` HP at the start of combat, damage from their staff will be calculated the same as other weapons.\-\-; -; -; -; -\-; -; -; Genny(Picnic), Sakura(Bath), Veronica(Brave); Camilla(Brave), Genny, Laevatein(Winter), Nixx(C137)\Passive, B, Staff\\\\
400391\Wrathful Staff\1\60\-\-\Passive(B)\Staff Users Only\-\If unit has 100% HP at the start of combat, damage from their staff will be calculated the same as other weapons.\-\-; -; -; -; -\Genny(Picnic), Sakura(Bath), Veronica(Brave); -; Camilla(Brave), Genny, Laevatein(Winter), Nixx(C137); -; -\Passive, B, Staff\\\\
400392\Wrathful Staff\2\120\-\-\Passive(B)\Staff Users Only\-\If unit has __>__ 50% HP at the start of combat, damage from their staff will be calculated the same as other weapons.\*Wrathful Staff 1*\-; -; -; -; -\-; Genny(Picnic), Sakura(Bath), Veronica(Brave); -; Camilla(Brave), Genny, Laevatein(Winter), Nixx(C137); -\Passive, B, Staff\\\\
400393\Wrathful Staff\3\240\-\-\Passive(B)\Staff Users Only\-\Damage from unit's staff will be calculated the same as other weapons.\*Wrathful Staff 2*\-; -; -; -; -\-; -; -; Genny(Picnic), Sakura(Bath), Veronica(Brave); Camilla(Brave), Genny, Laevatein(Winter), Nixx(C137)\Passive, B, Staff\\\\
400400\Dazzling Staff\example\240\-\-\Passive(B)\Staff Users Only\-\If unit has __>__ `100%/50%/0%` HP at the start of combat, the enemy cannot counterattack.\-\-; -; -; -; -\-; -; -; Eirika(Winter), Maribelle; Bruno(Bunny), Fjorm(Bride), Lyn(Bride), Silque\Passive, B, Staff\\\\
400401\Dazzling Staff\1\60\-\-\Passive(B)\Staff Users Only\-\If unit has 100% HP at the start of combat, the enemy cannot counterattack.\-\-; -; -; -; -\Eirika(Winter), Maribelle; -; Bruno(Bunny), Fjorm(Bride), Lyn(Bride), Silque; -; -\Passive, B, Staff\\\\
400402\Dazzling Staff\2\120\-\-\Passive(B)\Staff Users Only\-\If unit has __>__ 50% HP at the start of combat, the enemy cannot counterattack.\*Dazzling Staff 1*\-; -; -; -; -\-; Eirika(Winter), Maribelle; -; Bruno(Bunny), Fjorm(Bride), Lyn(Bride), Silque; -\Passive, B, Staff\\\\
400403\Dazzling Staff\3\240\-\-\Passive(B)\Staff Users Only\-\The enemy cannot counterattack.\*Dazzling Staff 2*\-; -; -; -; -\-; -; -; Eirika(Winter), Maribelle; Bruno(Bunny), Fjorm(Bride), Lyn(Bride), Silque\Passive, B, Staff\\\\
400410\Quickened Pulse\example\100\-\transparent\Passive(B), Seal, Passive(W)\Everyone\-\At the start of turn 1, grants Special cooldown count-`1/2`.\-\-; -; -; -; -\-; -; -; -; -\Passive, B, Seal, Cooldown\Dark Excalibur, Scarlet Sword\\\
400411\Quickened Pulse\1\100\-\Transparent 20 100 20\Passive(B), Seal\Everyone\-\At the start of turn 1, grants Special cooldown count-1.\-\-; -; -; -; -\-; -; -; -; -\Passive, B, Seal, Cooldown\\\\
400412\Quickened Pulse\2\200\-\-\Passive(B), Passive(W)\Everyone\-\At the start of turn 1, grants Special cooldown count-2.\-\-; -; -; -; -\-; -; -; -; -\Passive, B, W, Follow-up\Dark Excalibur, Scarlet Sword\\\
400420\Cancel Affinity\example\200\-\-\Passive(B)\Excludes Tome and Staff Users\-\Any weapon triangle affinity granted by unit's skills is negated.  T1 negates all affinity granted by any skills.  T2 nagates affinity disagvantage granted by only foe's skills.  T3 *reverses* affinity disagvantage gained by foe's skills.\-\-; -; -; -; -\-; -; -; Innes, Jamke, Linde(Summer); Mathilda, Robin(F)(Fallen)\Passive, B\\\\
400421\Cancel Affinity\1\50\-\-\Passive(B)\Excludes Tome and Staff Users\-\Any weapon triangle affinity granted by unit's skills is negated.  Also negates any weapon triangle affinity granted by foe's skills.\-\-; -; -; -; -\Innes, Jamke, Linde(Summer); -; Mathilda, Robin(F)(Fallen); -; -\Passive, B\\\\
